"Aaden"	["Red Sox", 47, 18]
"Alyson"	["Cardinals", 28, 50]
"Alyssa"	["Cardinals", 37, 51]
"Alyvia"	["Cardinals", 29, 51]
"Amanda"	["Red Sox", 40, 30]
"Amani"	["Red Sox", 44, 34]
"Amara"	["Cardinals", 24, 57]
"Amare"	["Cardinals", 33, 42]
"Amari"	["Cardinals", 33, 53]
"Amaya"	["Cardinals", 35, 40]
"Amber"	["Red Sox", 48, 30]
"Ameer"	["Cardinals", 39, 54]
"Amelia"	["Cardinals", 27, 51]
"Amelie"	["Cardinals", 24, 54]
"America"	["Cardinals", 28, 39]
"Amina"	["Cardinals", 20, 41]
"Amir"	["Cardinals", 24, 50]
"Amira"	["Red Sox", 49, 25]
"Amirah"	["Cardinals", 23, 47]
"Amiya"	["Red Sox", 60, 36]
"Amiyah"	["Red Sox", 42, 31]
"Amos"	["Red Sox", 49, 28]
"Amy"	["Red Sox", 52, 28]
"Amya"	["Cardinals", 36, 44]
"Ana"	["Cardinals", 28, 46]
"Anabel"	["Red Sox", 37, 29]
"Anabella"	["Red Sox", 50, 29]
"Anabelle"	["Red Sox", 53, 28]
"Anahi"	["Red Sox", 59, 30]
"Analia"	["Cardinals", 26, 43]
"Anastasia"	["Cardinals", 28, 40]
"Anaya"	["Red Sox", 43, 36]
"Anders"	["Red Sox", 39, 25]
"Anderson"	["Red Sox", 48, 35]
"Andre"	["Red Sox", 52, 37]
"Andrea"	["Cardinals", 39, 50]
"Andres"	["Cardinals", 25, 49]
"Andrew"	["Cardinals", 20, 40]
"Andy"	["Red Sox", 57, 20]
"Angel"	["Red Sox", 48, 37]
"Angela"	["Red Sox", 43, 21]
"Angelica"	["Red Sox", 42, 30]
"Angelina"	["Red Sox", 37, 33]
"Angeline"	["Red Sox", 49, 29]
"Angelique"	["Red Sox", 59, 28]
"Angelo"	["Red Sox", 44, 40]
"Angie"	["Cardinals", 29, 47]
"Anika"	["Cardinals", 31, 43]
"Aniya"	["Cardinals", 23, 49]
"Aniyah"	["Red Sox", 37, 25]
"Ann"	["Red Sox", 57, 26]
"Anna"	["Cardinals", 37, 34]
"Annabel"	["Cardinals", 30, 43]
"Annabell"	["Cardinals", 28, 37]
"Annabella"	["Red Sox", 50, 26]
"Annabelle"	["Red Sox", 58, 26]
"Annalee"	["Cardinals", 36, 61]
"Annalise"	["Cardinals", 34, 46]
"Anne"	["Cardinals", 38, 43]
"Annie"	["Red Sox", 48, 35]
"Annika"	["Cardinals", 32, 49]
"Ansley"	["Red Sox", 55, 28]
"Anthony"	["Cardinals", 30, 47]
"Antoine"	["Cardinals", 39, 46]
"Anton"	["Cardinals", 31, 43]
"Antonio"	["Cardinals", 36, 44]
"Anya"	["Cardinals", 26, 43]
"Apollo"	["Cardinals", 26, 41]
"April"	["Red Sox", 37, 30]
"Arabella"	["Cardinals", 36, 43]
"Araceli"	["Cardinals", 33, 53]
"Archer"	["Red Sox", 46, 26]
"Arely"	["Cardinals", 20, 48]
"Ari"	["Red Sox", 52, 29]
"Aria"	["Red Sox", 45, 28]
"Ariah"	["Cardinals", 31, 53]
"Arian"	["Cardinals", 37, 46]
"Ariana"	["Cardinals", 27, 48]
"Arianna"	["Cardinals", 32, 57]
"Ariel"	["Red Sox", 41, 24]
"Ariella"	["Red Sox", 46, 33]
"Arielle"	["Red Sox", 56, 25]
"Arjun"	["Red Sox", 53, 25]
"Arlo"	["Cardinals", 43, 31]
"Armando"	["Cardinals", 30, 52]
"Armani"	["Cardinals", 33, 49]
"Arnav"	["Cardinals", 34, 52]
"Aron"	["Red Sox", 47, 20]
"Arthur"	["Red Sox", 36, 36]
"Arturo"	["Red Sox", 46, 41]
"Arya"	["Cardinals", 30, 51]
"Aryan"	["Cardinals", 26, 50]
"Aryana"	["Cardinals", 37, 46]
"Aryanna"	["Red Sox", 44, 28]
"Asa"	["Cardinals", 23, 33]
"Asher"	["Cardinals", 33, 42]
"Ashley"	["Red Sox", 62, 30]
"Ashlyn"	["Red Sox", 43, 33]
"Ashlynn"	["Red Sox", 53, 34]
"Ashton"	["Red Sox", 51, 25]
"Ashtyn"	["Red Sox", 48, 33]
"Asia"	["Red Sox", 33, 18]
"Aspen"	["Cardinals", 28, 46]
"Athena"	["Red Sox", 46, 29]
"Atticus"	["Red Sox", 47, 29]
"Aubree"	["Cardinals", 29, 52]
"Aubrey"	["Cardinals", 20, 58]
"Aubri"	["Cardinals", 22, 42]
"Aubriana"	["Red Sox", 52, 29]
"Aubrianna"	["Red Sox", 48, 35]
"Aubrie"	["Cardinals", 37, 44]
"Aubrielle"	["Red Sox", 45, 35]
"Audrey"	["Red Sox", 45, 24]
"Audriana"	["Red Sox", 49, 28]
"Audrianna"	["Red Sox", 53, 33]
"Audrina"	["Red Sox", 37, 29]
"August"	["Cardinals", 35, 53]
"Augustine"	["Cardinals", 31, 53]
"Augustus"	["Cardinals", 41, 50]
"Aurora"	["Cardinals", 28, 50]
"Austin"	["Red Sox", 63, 24]
"Austyn"	["Red Sox", 40, 23]
"Autumn"	["Red Sox", 47, 27]
"Ava"	["Red Sox", 56, 25]
"Avah"	["Red Sox", 56, 38]
"Averi"	["Cardinals", 42, 42]
"Averie"	["Cardinals", 32, 36]
"Avery"	["Cardinals", 31, 47]
"Aviana"	["Cardinals", 31, 51]
"Avianna"	["Red Sox", 33, 34]
"Axel"	["Cardinals", 20, 52]
"Axton"	["Cardinals", 28, 39]
"Aya"	["Cardinals", 35, 52]
"Ayaan"	["Cardinals", 28, 39]
"Ayana"	["Red Sox", 58, 31]
"Ayanna"	["Red Sox", 53, 30]
"Aydan"	["Cardinals", 22, 47]
"Ayden"	["Cardinals", 28, 42]
"Aydin"	["Cardinals", 19, 65]
"Ayla"	["Red Sox", 45, 34]
"Ayleen"	["Red Sox", 61, 30]
"Aylin"	["Cardinals", 26, 57]
"Azalea"	["Red Sox", 37, 32]
"Azaria"	["Cardinals", 25, 47]
"Azariah"	["Red Sox", 47, 27]
"Bailee"	["Cardinals", 30, 40]
"Bailey"	["Red Sox", 42, 21]
"Barbara"	["Cardinals", 35, 52]
"Barrett"	["Red Sox", 39, 31]
"Baylee"	["Cardinals", 25, 39]
"Bayleigh"	["Red Sox", 57, 27]
"Beatrice"	["Cardinals", 24, 52]
"Beau"	["Cardinals", 23, 55]
"Beckett"	["Cardinals", 26, 51]
"Beckham"	["Cardinals", 40, 45]
"Belen"	["Cardinals", 30, 59]
"Bella"	["Red Sox", 43, 23]
"Ben"	["Cardinals", 34, 42]
"Benjamin"	["Cardinals", 28, 36]
"Bennett"	["Red Sox", 46, 24]
"Benson"	["Red Sox", 56, 23]
"Bentlee"	["Red Sox", 56, 29]
"Bentley"	["Cardinals", 24, 54]
"Bently"	["Cardinals", 25, 54]
"Benton"	["Red Sox", 50, 21]
"Bethany"	["Cardinals", 23, 45]
"Bianca"	["Cardinals", 31, 50]
"Billy"	["Cardinals", 29, 50]
"Blaine"	["Red Sox", 45, 23]
"Blair"	["Red Sox", 46, 34]
"Blaise"	["Red Sox", 53, 24]
"Blake"	["Cardinals", 28, 39]
"Blakely"	["Cardinals", 34, 56]
"Blaze"	["Red Sox", 55, 38]
"Bo"	["Red Sox", 54, 21]
"Bobby"	["Cardinals", 28, 39]
"Bodhi"	["Cardinals", 35, 48]
"Boston"	["Red Sox", 51, 22]
"Bowen"	["Cardinals", 21, 53]
"Braden"	["Cardinals", 35, 55]
"Bradley"	["Red Sox", 59, 30]
"Brady"	["Cardinals", 25, 60]
"Bradyn"	["Red Sox", 51, 23]
"Braeden"	["Cardinals", 26, 57]
"Braelyn"	["Red Sox", 56, 30]
"Braelynn"	["Cardinals", 46, 51]
"Braiden"	["Red Sox", 53, 33]
"Branden"	["Cardinals", 24, 56]
"Brandon"	["Red Sox", 49, 24]
"Branson"	["Cardinals", 24, 42]
"Brantley"	["Cardinals", 28, 37]
"Braxton"	["Red Sox", 48, 31]
"Brayan"	["Cardinals", 25, 60]
"Brayden"	["Red Sox", 46, 31]
"Braydon"	["Red Sox", 51, 30]
"Braylee"	["Cardinals", 32, 54]
"Braylen"	["Cardinals", 34, 53]
"Braylon"	["Cardinals", 23, 45]
"Breanna"	["Red Sox", 50, 28]
"Brecken"	["Red Sox", 44, 34]
"Bree"	["Red Sox", 57, 35]
"Brenda"	["Cardinals", 28, 50]
"Brendan"	["Cardinals", 34, 46]
"Brenden"	["Cardinals", 28, 46]
"Brendon"	["Red Sox", 47, 33]
"Brenna"	["Red Sox", 42, 21]
"Brennan"	["Cardinals", 37, 53]
"Brennen"	["Red Sox", 45, 20]
"Brent"	["Red Sox", 44, 29]
"Brentley"	["Cardinals", 27, 47]
"Brenton"	["Red Sox", 52, 32]
"Brett"	["Cardinals", 34, 63]
"Bria"	["Red Sox", 49, 32]
"Brian"	["Red Sox", 56, 34]
"Briana"	["Red Sox", 49, 31]
"Brianna"	["Red Sox", 46, 16]
"Brice"	["Red Sox", 48, 33]
"Bridger"	["Cardinals", 30, 52]
"Bridget"	["Red Sox", 37, 28]
"Briella"	["Red Sox", 48, 31]
"Brielle"	["Red Sox", 52, 32]
"Briggs"	["Red Sox", 51, 29]
"Briley"	["Cardinals", 33, 45]
"Brinley"	["Red Sox", 54, 35]
"Brisa"	["Cardinals", 31, 47]
"Bristol"	["Red Sox", 48, 22]
"Britney"	["Red Sox", 44, 29]
"Brittany"	["Cardinals", 28, 50]
"Brock"	["Cardinals", 17, 38]
"Broderick"	["Cardinals", 27, 50]
"Brodie"	["Cardinals", 32, 49]
"Brody"	["Red Sox", 53, 20]
"Brogan"	["Red Sox", 42, 26]
"Bronson"	["Red Sox", 49, 35]
"Brooke"	["Cardinals", 35, 48]
"Brooklyn"	["Red Sox", 42, 26]
"Brooklynn"	["Cardinals", 27, 54]
"Brooks"	["Cardinals", 27, 41]
"Bruce"	["Red Sox", 52, 26]
"Bruno"	["Cardinals", 25, 49]
"Bryan"	["Cardinals", 30, 46]
"Bryanna"	["Cardinals", 39, 43]
"Bryant"	["Cardinals", 27, 49]
"Bryce"	["Red Sox", 57, 36]
"Brycen"	["Cardinals", 26, 42]
"Brylee"	["Red Sox", 53, 27]
"Bryleigh"	["Red Sox", 42, 27]
"Bryn"	["Red Sox", 46, 33]
"Brynlee"	["Red Sox", 63, 27]
"Brynn"	["Red Sox", 42, 42]
"Bryson"	["Cardinals", 31, 55]
"Byron"	["Red Sox", 35, 23]
"Cade"	["Red Sox", 47, 21]
"Caden"	["Red Sox", 52, 35]
"Cadence"	["Red Sox", 44, 32]
"Cael"	["Cardinals", 39, 54]
"Caiden"	["Red Sox", 49, 34]
"Cailyn"	["Red Sox", 60, 26]
"Cain"	["Cardinals", 28, 45]
"Caitlin"	["Cardinals", 37, 48]
"Caitlyn"	["Cardinals", 21, 62]
"Cale"	["Red Sox", 57, 24]
"Caleb"	["Red Sox", 60, 30]
"Cali"	["Red Sox", 58, 33]
"Callan"	["Cardinals", 30, 47]
"Callen"	["Cardinals", 27, 37]
"Callie"	["Red Sox", 55, 28]
"Callum"	["Red Sox", 58, 24]
"Calvin"	["Red Sox", 68, 30]
"Cambria"	["Red Sox", 37, 30]
"Camden"	["Red Sox", 39, 32]
"Camdyn"	["Red Sox", 58, 29]
"Cameron"	["Cardinals", 35, 45]
"Camila"	["Red Sox", 66, 30]
"Camilla"	["Cardinals", 28, 41]
"Camille"	["Red Sox", 56, 35]
"Camilo"	["Cardinals", 36, 47]
"Campbell"	["Red Sox", 45, 30]
"Camren"	["Cardinals", 30, 35]
"Camron"	["Cardinals", 27, 47]
"Camryn"	["Red Sox", 52, 31]
"Cannon"	["Cardinals", 26, 42]
"Cara"	["Red Sox", 46, 33]
"Carissa"	["Red Sox", 49, 34]
"Carl"	["Red Sox", 48, 19]
"Carla"	["Cardinals", 34, 41]
"Carlee"	["Red Sox", 49, 39]
"Carleigh"	["Cardinals", 35, 39]
"Carley"	["Cardinals", 24, 48]
"Carlie"	["Cardinals", 39, 51]
"Carlos"	["Cardinals", 24, 40]
"Carly"	["Cardinals", 37, 44]
"Carmelo"	["Cardinals", 21, 46]
"Carmen"	["Cardinals", 29, 42]
"Carolina"	["Cardinals", 37, 60]
"Caroline"	["Cardinals", 20, 60]
"Carolyn"	["Cardinals", 26, 48]
"Carson"	["Red Sox", 46, 33]
"Carter"	["Cardinals", 35, 48]
"Case"	["Red Sox", 54, 29]
"Casen"	["Cardinals", 35, 46]
"Casey"	["Red Sox", 60, 31]
"Cash"	["Cardinals", 29, 47]
"Cason"	["Red Sox", 45, 24]
"Cassandra"	["Red Sox", 44, 20]
"Cassidy"	["Red Sox", 51, 36]
"Cassius"	["Cardinals", 30, 40]
"Cataleya"	["Red Sox", 67, 21]
"Catalina"	["Cardinals", 21, 46]
"Catherine"	["Red Sox", 53, 30]
"Cayden"	["Red Sox", 52, 25]
"Caylee"	["Red Sox", 49, 32]
"Cayson"	["Cardinals", 37, 50]
"Cecelia"	["Cardinals", 31, 45]
"Cecilia"	["Red Sox", 44, 30]
"Cedric"	["Cardinals", 19, 48]
"Celeste"	["Cardinals", 28, 41]
"Celia"	["Red Sox", 48, 25]
"Celine"	["Cardinals", 23, 44]
"Cesar"	["Cardinals", 28, 56]
"Chace"	["Cardinals", 34, 53]
"Chad"	["Red Sox", 47, 28]
"Chaim"	["Cardinals", 24, 47]
"Chana"	["Red Sox", 37, 30]
"Chance"	["Cardinals", 35, 48]
"Chandler"	["Cardinals", 21, 61]
"Chanel"	["Cardinals", 30, 46]
"Channing"	["Cardinals", 19, 51]
"Charity"	["Red Sox", 41, 32]
"Charlee"	["Red Sox", 58, 28]
"Charleigh"	["Cardinals", 29, 50]
"Charles"	["Cardinals", 23, 43]
"Charley"	["Cardinals", 25, 62]
"Charli"	["Cardinals", 22, 39]
"Charlie"	["Red Sox", 47, 31]
"Charlize"	["Red Sox", 41, 29]
"Charlotte"	["Cardinals", 26, 41]
"Chase"	["Red Sox", 48, 21]
"Chaya"	["Cardinals", 27, 49]
"Chelsea"	["Cardinals", 34, 42]
"Cherish"	["Cardinals", 29, 48]
"Cheyanne"	["Red Sox", 44, 27]
"Cheyenne"	["Red Sox", 51, 32]
"Chloe"	["Red Sox", 43, 27]
"Chris"	["Red Sox", 63, 33]
"Christian"	["Cardinals", 20, 54]
"Christina"	["Red Sox", 39, 20]
"Christine"	["Red Sox", 50, 22]
"Christopher"	["Red Sox", 48, 24]
"Ciara"	["Cardinals", 26, 49]
"Cindy"	["Red Sox", 64, 31]
"Claire"	["Red Sox", 45, 30]
"Clara"	["Cardinals", 41, 47]
"Clare"	["Cardinals", 30, 40]
"Clarissa"	["Red Sox", 53, 34]
"Clark"	["Cardinals", 30, 53]
"Claudia"	["Cardinals", 35, 56]
"Clay"	["Red Sox", 41, 23]
"Clayton"	["Red Sox", 32, 27]
"Clinton"	["Red Sox", 41, 31]
"Cody"	["Red Sox", 53, 21]
"Cohen"	["Cardinals", 27, 49]
"Colby"	["Red Sox", 55, 23]
"Cole"	["Cardinals", 23, 50]
"Coleman"	["Red Sox", 54, 25]
"Colette"	["Cardinals", 29, 36]
"Colin"	["Red Sox", 47, 27]
"Collin"	["Red Sox", 57, 35]
"Collins"	["Red Sox", 56, 24]
"Colt"	["Cardinals", 31, 32]
"Colten"	["Cardinals", 27, 46]
"Colton"	["Cardinals", 35, 47]
"Conner"	["Red Sox", 45, 37]
"Connor"	["Red Sox", 48, 31]
"Conor"	["Red Sox", 46, 23]
"Conrad"	["Cardinals", 22, 46]
"Cooper"	["Red Sox", 57, 23]
"Cora"	["Cardinals", 30, 47]
"Coraline"	["Red Sox", 43, 29]
"Corbin"	["Cardinals", 36, 38]
"Corey"	["Cardinals", 23, 53]
"Corinne"	["Cardinals", 34, 49]
"Cory"	["Cardinals", 36, 44]
"Courtney"	["Cardinals", 32, 53]
"Craig"	["Cardinals", 33, 33]
"Crew"	["Red Sox", 52, 30]
"Cristian"	["Cardinals", 21, 54]
"Cristina"	["Cardinals", 28, 47]
"Cristopher"	["Cardinals", 25, 37]
"Crosby"	["Red Sox", 45, 22]
"Cruz"	["Red Sox", 69, 28]
"Crystal"	["Cardinals", 28, 48]
"Cullen"	["Cardinals", 35, 44]
"Curtis"	["Cardinals", 23, 48]
"Cynthia"	["Cardinals", 37, 49]
"Cyrus"	["Red Sox", 51, 30]
"Dahlia"	["Cardinals", 26, 46]
"Daisy"	["Cardinals", 25, 55]
"Dakota"	["Red Sox", 54, 34]
"Dalilah"	["Red Sox", 48, 29]
"Dallas"	["Cardinals", 24, 42]
"Dalton"	["Cardinals", 28, 42]
"Damari"	["Cardinals", 19, 59]
"Damarion"	["Red Sox", 43, 33]
"Damian"	["Red Sox", 43, 37]
"Damien"	["Cardinals", 30, 44]
"Damion"	["Cardinals", 28, 54]
"Damon"	["Red Sox", 47, 24]
"Dana"	["Red Sox", 55, 28]
"Dane"	["Red Sox", 44, 24]
"Dangelo"	["Red Sox", 43, 36]
"Danica"	["Cardinals", 28, 35]
"Daniel"	["Red Sox", 37, 34]
"Daniela"	["Red Sox", 42, 36]
"Daniella"	["Cardinals", 29, 56]
"Danielle"	["Red Sox", 49, 17]
"Danika"	["Cardinals", 34, 58]
"Danna"	["Cardinals", 30, 42]
"Danny"	["Cardinals", 33, 48]
"Dante"	["Cardinals", 34, 42]
"Daphne"	["Cardinals", 36, 54]
"Darian"	["Cardinals", 30, 39]
"Dariel"	["Red Sox", 53, 24]
"Darien"	["Red Sox", 51, 29]
"Dario"	["Cardinals", 23, 48]
"Darius"	["Cardinals", 31, 52]
"Darnell"	["Red Sox", 44, 28]
"Darrell"	["Cardinals", 32, 59]
"Darren"	["Red Sox", 56, 27]
"Darryl"	["Red Sox", 49, 27]
"Darwin"	["Cardinals", 31, 49]
"Davian"	["Cardinals", 33, 46]
"David"	["Red Sox", 53, 32]
"Davin"	["Cardinals", 21, 32]
"Davion"	["Red Sox", 46, 18]
"Davis"	["Red Sox", 47, 32]
"Davon"	["Red Sox", 50, 37]
"Dawson"	["Red Sox", 49, 28]
"Dax"	["Red Sox", 56, 26]
"Daxton"	["Red Sox", 47, 33]
"Dayana"	["Cardinals", 19, 49]
"Dayton"	["Cardinals", 25, 47]
"Deacon"	["Cardinals", 30, 48]
"Dean"	["Cardinals", 30, 31]
"Deandre"	["Cardinals", 27, 55]
"Deangelo"	["Red Sox", 54, 36]
"Deanna"	["Cardinals", 24, 52]
"Deborah"	["Red Sox", 48, 37]
"Declan"	["Red Sox", 58, 25]
"Deegan"	["Cardinals", 24, 47]
"Delaney"	["Cardinals", 27, 59]
"Delilah"	["Red Sox", 45, 20]
"Demarcus"	["Red Sox", 34, 29]
"Demetrius"	["Red Sox", 52, 25]
"Demi"	["Red Sox", 49, 23]
"Denise"	["Cardinals", 17, 47]
"Dennis"	["Red Sox", 46, 27]
"Denzel"	["Cardinals", 18, 43]
"Deon"	["Cardinals", 36, 55]
"Derek"	["Red Sox", 52, 22]
"Derick"	["Cardinals", 29, 37]
"Derrick"	["Red Sox", 45, 38]
"Deshawn"	["Red Sox", 43, 32]
"Desiree"	["Red Sox", 44, 31]
"Desmond"	["Red Sox", 50, 32]
"Destinee"	["Cardinals", 25, 52]
"Destiny"	["Red Sox", 50, 23]
"Devan"	["Cardinals", 36, 42]
"Devin"	["Red Sox", 44, 34]
"Devon"	["Red Sox", 43, 27]
"Devyn"	["Red Sox", 47, 27]
"Dexter"	["Cardinals", 29, 42]
"Diamond"	["Red Sox", 53, 26]
"Diana"	["Red Sox", 45, 29]
"Diego"	["Red Sox", 45, 20]
"Dillon"	["Cardinals", 27, 59]
"Dixie"	["Cardinals", 32, 38]
"Dominic"	["Red Sox", 51, 33]
"Dominick"	["Red Sox", 47, 24]
"Dominik"	["Red Sox", 49, 29]
"Dominique"	["Red Sox", 59, 40]
"Donald"	["Cardinals", 35, 39]
"Donovan"	["Red Sox", 44, 33]
"Donte"	["Cardinals", 31, 51]
"Dorian"	["Red Sox", 53, 32]
"Dorothy"	["Red Sox", 41, 34]
"Douglas"	["Red Sox", 52, 33]
"Drake"	["Cardinals", 30, 48]
"Draven"	["Cardinals", 28, 48]
"Drew"	["Red Sox", 50, 31]
"Dulce"	["Red Sox", 44, 26]
"Duncan"	["Red Sox", 40, 26]
"Dustin"	["Red Sox", 39, 18]
"Dwayne"	["Red Sox", 46, 28]
"Dylan"	["Cardinals", 30, 40]
"Ean"	["Cardinals", 29, 49]
"Easton"	["Cardinals", 23, 47]
"Eddie"	["Red Sox", 44, 33]
"Eden"	["Red Sox", 50, 41]
"Edgar"	["Red Sox", 53, 30]
"Edison"	["Red Sox", 53, 23]
"Edith"	["Red Sox", 48, 29]
"Eduardo"	["Red Sox", 40, 27]
"Edward"	["Red Sox", 54, 31]
"Edwin"	["Cardinals", 36, 60]
"Efrain"	["Red Sox", 42, 35]
"Eileen"	["Red Sox", 58, 31]
"Elaina"	["Red Sox", 45, 24]
"Elaine"	["Red Sox", 46, 35]
"Eleanor"	["Cardinals", 27, 51]
"Elena"	["Cardinals", 30, 51]
"Eli"	["Cardinals", 27, 48]
"Elian"	["Red Sox", 47, 34]
"Eliana"	["Red Sox", 38, 37]
"Elianna"	["Red Sox", 46, 33]
"Elias"	["Cardinals", 25, 47]
"Elijah"	["Cardinals", 28, 50]
"Elin"	["Cardinals", 18, 39]
"Eliot"	["Cardinals", 26, 58]
"Elisa"	["Red Sox", 59, 30]
"Elisabeth"	["Red Sox", 55, 39]
"Elise"	["Cardinals", 22, 47]
"Eliseo"	["Cardinals", 41, 41]
"Elisha"	["Red Sox", 48, 21]
"Elissa"	["Red Sox", 45, 31]
"Eliza"	["Red Sox", 40, 24]
"Elizabeth"	["Red Sox", 50, 29]
"Ella"	["Red Sox", 50, 20]
"Elle"	["Red Sox", 46, 38]
"Ellen"	["Red Sox", 50, 20]
"Elliana"	["Cardinals", 38, 54]
"Ellie"	["Red Sox", 50, 27]
"Elliot"	["Cardinals", 20, 45]
"Elliott"	["Cardinals", 31, 41]
"Ellis"	["Red Sox", 47, 27]
"Eloise"	["Red Sox", 42, 40]
"Elsa"	["Cardinals", 37, 44]
"Elsie"	["Cardinals", 26, 40]
"Elyse"	["Cardinals", 32, 57]
"Emanuel"	["Cardinals", 29, 54]
"Ember"	["Red Sox", 55, 29]
"Emelia"	["Red Sox", 54, 26]
"Emely"	["Cardinals", 26, 56]
"Emerson"	["Red Sox", 51, 25]
"Emersyn"	["Red Sox", 50, 25]
"Emery"	["Red Sox", 58, 19]
"Emilee"	["Red Sox", 63, 37]
"Emilia"	["Cardinals", 32, 38]
"Emiliano"	["Cardinals", 17, 53]
"Emilie"	["Red Sox", 47, 33]
"Emilio"	["Cardinals", 28, 45]
"Emily"	["Red Sox", 47, 34]
"Emma"	["Cardinals", 25, 54]
"Emmalee"	["Red Sox", 42, 26]
"Emmaline"	["Red Sox", 60, 27]
"Emmalyn"	["Red Sox", 44, 33]
"Emmalynn"	["Cardinals", 27, 54]
